ticker,sector,spider_id
FIVE,Consumer Discretionary,SECTOR_CONSUMER_DISCRETIONARY
FIX,Industrials,SECTOR_INDUSTRIALS
FIZZ,Consumer Staples,SECTOR_CONSUMER_STAPLES
FLEX,Technology,SECTOR_TECHNOLOGY
FLNC,Utilities,SECTOR_UTILITIES
FLYW,Technology,SECTOR_TECHNOLOGY
FMBH,Financials,SECTOR_FINANCIALS
FMNB,Financials,SECTOR_FINANCIALS
FNB,Financials,SECTOR_FINANCIALS
FOF,Financials,SECTOR_FINANCIALS
FOLD,Healthcare,SECTOR_HEALTHCARE
FOUR,Technology,SECTOR_TECHNOLOGY
FOX,Communication Services,SECTOR_COMMUNICATION_SERVICES
FOXA,Communication Services,SECTOR_COMMUNICATION_SERVICES
FPF,Financials,SECTOR_FINANCIALS
FRBA,Financials,SECTOR_FINANCIALS
FRGE,Financials,SECTOR_FINANCIALS
FRME,Financials,SECTOR_FINANCIALS
FROG,Technology,SECTOR_TECHNOLOGY
FRPT,Consumer Staples,SECTOR_CONSUMER_STAPLES
FRSH,Technology,SECTOR_TECHNOLOGY
FRST,Financials,SECTOR_FINANCIALS
FSBC,Financials,SECTOR_FINANCIALS
FSBW,Financials,SECTOR_FINANCIALS
FSLR,Technology,SECTOR_TECHNOLOGY
FSS,Industrials,SECTOR_INDUSTRIALS
FSTR,Industrials,SECTOR_INDUSTRIALS
FTAI,Industrials,SECTOR_INDUSTRIALS
FTDR,Consumer Discretionary,SECTOR_CONSUMER_DISCRETIONARY
FTI,Energy,SECTOR_ENERGY
FUL,Materials,SECTOR_MATERIALS
FULC,Healthcare,SECTOR_HEALTHCARE
FULT,Financials,SECTOR_FINANCIALS
FWRD,Industrials,SECTOR_INDUSTRIALS
FWRG,Consumer Discretionary,SECTOR_CONSUMER_DISCRETIONARY
GAP,Consumer Discretionary,SECTOR_CONSUMER_DISCRETIONARY
GATX,Industrials,SECTOR_INDUSTRIALS
GBCI,Financials,SECTOR_FINANCIALS
