ticker,sector,spider_id,batch,batch_name,total_trades,winning_trades,losing_trades,win_rate_pct,profit_factor,expectancy_r,net_pnl_usd,net_return_pct,gross_wins_usd,gross_losses_usd,avg_win_pct,avg_loss_pct,best_trade_pct,worst_trade_pct,avg_hold_days,stage6_entries,stage7_entries
VLY,Financials,SECTOR_FINANCIALS,B1,Batch 1 — 2022 to 2023,6,4,2,66.67,2.7752,0.6255,372.39,3.7239,582.16,209.77,9.6933,-8.3887,20.4082,-10.8505,26.8,1,5
FCF,Financials,SECTOR_FINANCIALS,B1,Batch 1 — 2022 to 2023,5,3,2,60.0,3.0279,0.6253,364.25,3.6425,543.87,179.62,9.872,-5.1493,12.3596,-5.5267,21.6,0,5
FRBA,Financials,SECTOR_FINANCIALS,B1,Batch 1 — 2022 to 2023,4,3,1,75.0,3.5904,0.6227,206.48,2.0648,286.19,79.71,8.8759,-3.8377,16.6667,-3.8377,23.5,0,4
CROX,Consumer Discretionary,SECTOR_CONSUMER_DISCRETIONARY,B1,Batch 1 — 2022 to 2023,7,4,3,57.14,2.7075,0.6209,464.42,4.6442,736.41,271.99,18.6126,-8.5688,51.134,-9.2371,21.1,0,7
BEN,Financials,SECTOR_FINANCIALS,B1,Batch 1 — 2022 to 2023,7,4,3,57.14,2.4744,0.6197,476.88,4.7688,800.31,323.43,10.4996,-7.1071,18.3673,-8.6925,20.1,0,7
EVCM,Technology,SECTOR_TECHNOLOGY,B1,Batch 1 — 2022 to 2023,4,2,2,50.0,3.1006,0.6196,267.16,2.6716,394.34,127.18,23.4668,-6.3837,43.1564,-9.5575,14.5,1,3
STRL,Industrials,SECTOR_INDUSTRIALS,B1,Batch 1 — 2022 to 2023,13,6,7,46.15,2.5433,0.6185,739.73,7.3973,1219.04,479.31,13.7663,-4.4866,25.5469,-6.9915,9.4,0,13
FIZZ,Consumer Staples,SECTOR_CONSUMER_STAPLES,B1,Batch 1 — 2022 to 2023,9,6,3,66.67,5.5991,0.6182,559.8,5.598,681.52,121.72,6.9875,-2.6258,14.1817,-3.1544,19.9,1,8
AME,Industrials,SECTOR_INDUSTRIALS,B1,Batch 1 — 2022 to 2023,9,6,3,66.67,4.5872,0.6173,539.01,5.3901,689.27,150.26,4.9674,-2.0252,12.2207,-3.7696,13.1,0,9
EYPT,Healthcare,SECTOR_HEALTHCARE,B1,Batch 1 — 2022 to 2023,8,5,3,62.5,2.6076,0.6134,446.47,4.4647,724.19,277.72,25.7253,-14.2883,68.1234,-14.9247,15.0,2,6
PFBC,Financials,SECTOR_FINANCIALS,B1,Batch 1 — 2022 to 2023,7,4,3,57.14,3.7812,0.6116,417.07,4.1707,567.03,149.96,10.4802,-2.2218,30.4365,-2.6483,13.9,1,6
EMN,Materials,SECTOR_MATERIALS,B1,Batch 1 — 2022 to 2023,4,2,2,50.0,2.2512,0.6087,242.77,2.4277,436.8,194.03,12.8158,-5.9377,14.6818,-6.1065,63.2,2,2
RDN,Financials,SECTOR_FINANCIALS,B1,Batch 1 — 2022 to 2023,9,6,3,66.67,3.8482,0.6054,569.49,5.6949,769.44,199.95,5.8803,-3.2429,14.7826,-4.6713,12.7,0,9
LOPE,Consumer Staples,SECTOR_CONSUMER_STAPLES,B1,Batch 1 — 2022 to 2023,10,4,6,40.0,2.5433,0.6032,574.63,5.7463,946.96,372.33,13.231,-2.7252,28.0306,-4.3642,12.6,0,10
SAIA,Industrials,SECTOR_INDUSTRIALS,B1,Batch 1 — 2022 to 2023,9,5,4,55.56,8.3436,0.6002,502.74,5.0274,571.2,68.46,10.6207,-1.6468,21.2987,-2.7685,12.0,0,9
TTD,Communication Services,SECTOR_COMMUNICATION_SERVICES,B1,Batch 1 — 2022 to 2023,7,4,3,57.14,4.5823,0.599,408.7,4.087,522.79,114.09,14.5671,-2.8456,33.6117,-3.4413,12.6,0,7
EME,Industrials,SECTOR_INDUSTRIALS,B1,Batch 1 — 2022 to 2023,12,5,7,41.67,2.3221,0.597,712.28,7.1228,1251.02,538.74,11.1094,-3.8215,23.484,-5.1987,11.2,0,12
ARW,Technology,SECTOR_TECHNOLOGY,B1,Batch 1 — 2022 to 2023,7,3,4,42.86,2.9081,0.5965,401.51,4.0151,611.93,210.42,11.3408,-2.3501,26.7379,-4.57,18.4,1,6
CHD,Consumer Staples,SECTOR_CONSUMER_STAPLES,B1,Batch 1 — 2022 to 2023,7,5,2,71.43,5.4343,0.5957,419.35,4.1935,513.92,94.57,3.1917,-1.578,5.8779,-2.2094,18.6,0,7
VMC,Materials,SECTOR_MATERIALS,B1,Batch 1 — 2022 to 2023,9,5,4,55.56,3.4437,0.592,536.56,5.3656,756.13,219.57,6.5442,-2.8882,11.7899,-4.3509,10.9,1,8
UPST,Financials,SECTOR_FINANCIALS,B1,Batch 1 — 2022 to 2023,8,3,5,37.5,2.0277,0.5911,463.82,4.6382,915.12,451.3,51.5906,-17.8825,66.8,-22.0355,11.0,0,8
ARDX,Healthcare,SECTOR_HEALTHCARE,B1,Batch 1 — 2022 to 2023,11,5,6,45.45,2.3047,0.5901,518.83,5.1883,916.49,397.66,30.2751,-9.7391,71.8539,-16.5749,13.9,0,11
COST,Consumer Staples,SECTOR_CONSUMER_STAPLES,B1,Batch 1 — 2022 to 2023,6,3,3,50.0,3.9324,0.5899,377.52,3.7752,506.26,128.74,5.2486,-1.5257,11.9418,-3.4827,12.7,0,6
OIS,Energy,SECTOR_ENERGY,B1,Batch 1 — 2022 to 2023,6,4,2,66.67,11.508,0.5887,360.11,3.6011,394.38,34.27,10.12,-1.9858,29.7505,-3.6111,13.2,0,6
ONB,Financials,SECTOR_FINANCIALS,B1,Batch 1 — 2022 to 2023,7,3,4,42.86,2.6425,0.5883,479.65,4.7965,771.67,292.02,15.8275,-3.8374,22.8404,-5.4692,18.3,0,7
DAY,Technology,SECTOR_TECHNOLOGY,B1,Batch 1 — 2022 to 2023,5,4,1,80.0,4.1155,0.5881,309.46,3.0946,408.79,99.33,8.042,-5.0782,17.3976,-5.0782,29.2,0,5
NATH,Consumer Discretionary,SECTOR_CONSUMER_DISCRETIONARY,B1,Batch 1 — 2022 to 2023,10,6,4,60.0,3.8673,0.5875,605.55,6.0555,816.74,211.19,6.152,-2.9549,14.4971,-4.9212,11.5,1,9
MVBF,Financials,SECTOR_FINANCIALS,B1,Batch 1 — 2022 to 2023,4,2,2,50.0,2.3097,0.5832,233.2,2.332,411.26,178.06,18.6161,-6.0321,31.5381,-6.332,27.2,0,4
LYFT,Technology,SECTOR_TECHNOLOGY,B1,Batch 1 — 2022 to 2023,4,1,3,25.0,1.7274,0.5824,225.41,2.2541,535.3,309.89,52.0082,-11.3946,52.0082,-12.1609,48.0,1,3
TWST,Healthcare,SECTOR_HEALTHCARE,B1,Batch 1 — 2022 to 2023,7,2,5,28.57,1.651,0.5807,340.91,3.4091,864.62,523.71,65.3662,-16.1567,70.4118,-25.8572,23.9,1,6
AORT,Healthcare,SECTOR_HEALTHCARE,B1,Batch 1 — 2022 to 2023,5,4,1,80.0,4.0019,0.5806,285.3,2.853,380.34,95.04,8.6978,-5.7831,16.4405,-5.7831,35.8,1,4
